id,number,state,team_blue,winner,team_red
110733838936446929,1,completed,109981650516317055,blue,110733889090164854
110733838936446930,2,completed,110733889090164854,red,109981650516317055
110733838936446933,1,completed,110733877357854829,blue,110534732558665825
110733838936446934,2,completed,110733877357854829,blue,110534732558665825
110733838936446937,1,completed,109981650516317055,blue,110733877357854829
110733838936446938,2,completed,110733877357854829,red,109981650516317055
110733838936446941,1,completed,110534732558665825,red,110733889090164854
110733838936446942,2,completed,110534732558665825,blue,110733889090164854
110733838936446943,3,completed,110733889090164854,blue,110534732558665825
110733838936446945,1,completed,110733889090164854,red,110733877357854829
110733838936446946,2,completed,110733877357854829,blue,110733889090164854
110733838936446949,1,completed,107580497041999074,red,110534741480867943
110733838936446950,2,completed,107580497041999074,red,110534741480867943
110733838936446953,1,completed,110733870612047344,red,110534728305628996
110733838936446954,2,completed,110733870612047344,blue,110534728305628996
110733838936446955,3,completed,110733870612047344,blue,110534728305628996
110733838936446957,1,completed,110534741480867943,red,110733870612047344
110733838936446958,2,completed,110534741480867943,red,110733870612047344
110733838936446961,1,completed,107580497041999074,red,110534728305628996
110733838936446962,2,completed,110534728305628996,red,107580497041999074
110733838936446963,3,completed,107580497041999074,blue,110534728305628996
110733838936446965,1,completed,107580497041999074,blue,110534741480867943
110733838936446966,2,completed,110534741480867943,blue,107580497041999074
110733838936446967,3,completed,107580497041999074,blue,110534741480867943
110733838936446969,1,completed,107580483738977500,red,110534714934488523
110733838936446970,2,completed,110534714934488523,blue,107580483738977500
110733838936446973,1,completed,110733864366329081,blue,110534700622694005
110733838936446974,2,completed,110733864366329081,blue,110534700622694005
110733838936446977,1,completed,110733864366329081,blue,110534714934488523
110733838936446978,2,completed,110733864366329081,blue,110534714934488523
110733838936446981,1,completed,110534700622694005,red,107580483738977500
110733838936446982,2,completed,110534700622694005,red,107580483738977500
110733838936446985,1,completed,107580483738977500,blue,110534714934488523
110733838936446986,2,completed,110534714934488523,red,107580483738977500
110733838936446989,1,completed,110733881542862348,red,109783149221216052
110733838936446990,2,completed,109783149221216052,blue,110733881542862348
110733838936446993,1,completed,109981647134921596,red,110534696811298545
110733838936446994,2,completed,109981647134921596,red,110534696811298545
110733838936446997,1,completed,109783149221216052,blue,110534696811298545
110733838936446998,2,completed,110534696811298545,red,109783149221216052
110733838936447001,1,completed,109981647134921596,blue,110733881542862348
110733838936447002,2,completed,110733881542862348,red,109981647134921596
110733838936512541,1,completed,110534696811298545,red,109981647134921596
110733838936512542,2,completed,109981647134921596,red,110534696811298545
110733838936512543,3,completed,110534696811298545,blue,109981647134921596
110733838936512545,1,completed,109981650516317055,blue,110534696811298545
110733838936512546,2,completed,110534696811298545,red,109981650516317055
110733838936512549,1,completed,107580497041999074,red,110733864366329081
110733838936512550,2,completed,110733864366329081,red,107580497041999074
110733838936512551,3,completed,107580497041999074,blue,110733864366329081
110733838936512553,1,completed,110733877357854829,red,110733870612047344
110733838936512554,2,completed,110733870612047344,blue,110733877357854829
110733838936512557,1,completed,107580483738977500,blue,109783149221216052
110733838936512558,2,completed,109783149221216052,blue,107580483738977500
110733838936512559,3,completed,107580483738977500,blue,109783149221216052
110733838936512561,1,completed,107580497041999074,red,109981650516317055
110733838936512562,2,completed,107580497041999074,blue,109981650516317055
110733838936512563,3,completed,107580497041999074,red,109981650516317055
110733838936512565,1,completed,107580483738977500,red,110733870612047344
110733838936512566,2,completed,107580483738977500,blue,110733870612047344
110733838936512567,3,completed,110733870612047344,blue,107580483738977500
110733838936512569,1,completed,109981650516317055,blue,110733870612047344
110733838936512570,2,completed,110733870612047344,red,109981650516317055
110733838936512571,3,completed,109981650516317055,blue,110733870612047344
110428723805336909,1,completed,105521637552587612,red,105521706535388095
110428723805336911,1,completed,105521706535388095,blue,102787200149928963
110428723805336913,1,completed,105521674055625312,red,105521706535388095
110428723805336915,1,completed,108078422885368642,blue,105521706535388095
110428723805336917,1,completed,105521706535388095,blue,107067065368380132
110428723805336919,1,completed,105521706535388095,blue,109671413728531527
110428723805336921,1,completed,105521706535388095,blue,105521293297166647
110428723805336923,1,completed,105521637552587612,red,102787200149928963
110428723805336925,1,completed,105521674055625312,blue,105521637552587612
110428723805336927,1,completed,105521637552587612,red,108078422885368642
110428723805336929,1,completed,107067065368380132,blue,105521637552587612
110428723805336931,1,completed,105521637552587612,blue,109671413728531527
110428723805336933,1,completed,105521293297166647,red,105521637552587612
110428723805336935,1,completed,105521674055625312,red,102787200149928963
110428723805336937,1,completed,102787200149928963,blue,108078422885368642
110428723805336939,1,completed,102787200149928963,blue,107067065368380132
110428723805336941,1,completed,102787200149928963,blue,109671413728531527
110428723805336943,1,completed,102787200149928963,blue,105521293297166647
110428723805336945,1,completed,108078422885368642,blue,105521674055625312
110428723805336947,1,completed,107067065368380132,red,105521674055625312
110428723805336949,1,completed,109671413728531527,blue,105521674055625312
110428723805336951,1,completed,105521674055625312,blue,105521293297166647
110428723805336953,1,completed,108078422885368642,blue,107067065368380132
110428723805336955,1,completed,108078422885368642,blue,109671413728531527
110428723805336957,1,completed,105521293297166647,red,108078422885368642
110428723805336959,1,completed,107067065368380132,blue,109671413728531527
110428723805336961,1,completed,105521293297166647,blue,107067065368380132
110428723805336963,1,completed,105521293297166647,red,109671413728531527
110428723805336965,1,completed,105521706535388095,blue,105521637552587612
110428723805336967,1,completed,105521706535388095,blue,102787200149928963
110428723805336969,1,completed,105521706535388095,blue,105521674055625312
110428723805336971,1,completed,105521706535388095,blue,108078422885368642
110428723805336973,1,completed,107067065368380132,red,105521706535388095
110428723805336975,1,completed,105521706535388095,blue,109671413728531527
110428723805336977,1,completed,105521293297166647,red,105521706535388095
110428723805336979,1,completed,105521637552587612,red,102787200149928963
110428723805336981,1,completed,105521674055625312,red,105521637552587612
110428723805336983,1,completed,108078422885368642,red,105521637552587612
110428723805336985,1,completed,105521637552587612,blue,107067065368380132
110428723805336987,1,completed,109671413728531527,blue,105521637552587612
110428723805336989,1,completed,105521637552587612,blue,105521293297166647
110428723805336991,1,completed,102787200149928963,blue,105521674055625312
110428723805336993,1,completed,102787200149928963,blue,108078422885368642
110428723805336995,1,completed,107067065368380132,red,102787200149928963
110428723805336997,1,completed,109671413728531527,red,102787200149928963
110428723805336999,1,completed,102787200149928963,blue,105521293297166647
110428723805337001,1,completed,108078422885368642,red,105521674055625312
110428723805337003,1,completed,105521674055625312,blue,107067065368380132
110428723805337005,1,completed,105521674055625312,blue,109671413728531527
110428723805337007,1,completed,105521674055625312,blue,105521293297166647
110428723805337009,1,completed,108078422885368642,red,107067065368380132
110428723805337011,1,completed,109671413728531527,blue,108078422885368642
110428723805337013,1,completed,108078422885368642,red,105521293297166647
110428723805337015,1,completed,109671413728531527,red,107067065368380132
110428723805337017,1,completed,105521293297166647,blue,107067065368380132
110428723805337019,1,completed,105521293297166647,blue,109671413728531527
110428723805337021,1,completed,102787200149928963,red,105521706535388095
110428723805337022,2,completed,105521706535388095,red,102787200149928963
110428723805337023,3,completed,102787200149928963,blue,105521706535388095
110428723805337024,4,completed,102787200149928963,red,105521706535388095
110428723805337025,5,completed,105521706535388095,red,102787200149928963
110428723805337027,1,completed,105521674055625312,blue,105521637552587612
110428723805337028,2,completed,105521674055625312,blue,105521637552587612
110428723805337029,3,completed,105521637552587612,red,105521674055625312
