team_id,name,acronym,slug,player_id,handle,first_name,last_name
105505619546859895,OKSavingsBank BRION,BRO,fredit-brion,99566404525897139,UmTi,Sunghyeon,Um
106827823550343961,AXZ Academy,AXZ,axz-academy,110536783764146522,kentakki,Kenta,Saito
98767991949608898,Fenerbahçe Espor,FB,fenerbahce-espor,99566404559755136,SeongHwan,Yun,Seong Hwan
109642680932009857,Nord Esports,NORD,nord-esports,110428375437150775,Hid0,Gian Miguel,Caruana
110534712174898632,Blue Otter,BOL,blue-otter,109800032657915058,Zev,Mark,Villaneuva
99124844353216570,LCK All-Stars,LCK,lck-allstars,99566404529717522,Mata,Sehyoung,Cho
107700199633958891,CTBC Flying Oyster,CFO,ctbc-flying-oyster,98767975915355341,Gemini,Chu-Xuan,Huang
104367068120825486,PSG Talon,PSG,psg-talon,99566406463329124,Wako,Wei-Yang,Zou
98767991926151025,G2 Esports,G2,g2-esports,98767975968177297,Caps,Rasmus,Borregaard Winther
101383792887446028,MAMMOTH,MEC,mammoth,109675627129279585,Ch1Chi,Chia-Chi,Hsu
103461966965149786,MAD Lions,MAD,mad-lions,99566406035014855,Achuu,Nicolaj,Ellesgaard
109981647134921596,CCG Esports,CCG,ccg-esports,110536010772928950,Bruhruto,Ivan,Guan
99566408219409348,Vivo Keyd Stars,VKS,vivo-keyd,99566405933319527,Grell,Jesús,Trujillo
105521419784127190,Komil&Friends,KNF,komilfriends,109857317926915507,Minemany11,Dominik,Nowacki
98767991954244555,GAM Esports,GAM,gam-esports,98767975918707483,Levi,Duy Khanh,Do
107599089191671351,Santiago Wanderers,SW,santiago-wanderers,109676532897209121,Husky ,Javiera Soledad,Machado Hernández
106269859169658575,Impunity Esports,IMP,impunity-esports,110548040198127155,Shera,WINSTON YI SHENG,TAI
107416342401528388,Maturalni Forsaken,MFSK,forsaken,110378665590552147,nicolayi,Nicolayi,Garkov
98926509887041994,Echo Fox,FOX2,echo-fox,98926509872843589,MikeYeung,Michael,Yeung
109696138543579708,3BL Esports,3BL,ebl-esports,109696466677668268,Ajwad,Ajwad,Wazzan
105709099258505657,PEACE,PCE,peace,109675769550330537,CL0UD,Zhenwei,Hu
109697686032800938,XtremeDominators,XD,xtremedominators,109697783437515998,Djoksi,Petar,Djordjevic
109695910533747910,RAAD,RAAD,raad,109696314990191330,Maged,Maged,Marwan
98767991860392497,TSM,TSM,tsm,99566404539819076,Ruby,Sol-min,Lee
110424397251619481,Myth Esports,MYTH,myth-esports,110454416579506544,W1ND,Martin,Prokopovic
99566406332987990,The Chiefs,CHF,the-chiefs,99566406316982372,Babip,Leo,Romer
105593182576105603,BRUTE,BRT,brute,110473373169805235,Peto,Peter,Kollár
109539675734129088,Northern Lions Esports,NLE,northern-lions-esports,109749151366449336,Aisu,Guillaume,Giroux
109675490370327425,Ground Zero,GZ,ground-zero,110466709774698826,Eiko,Dai ,PhuMon
107437032053655867,Kanga Esports,KNG,kanga-esports,99566406318648094,papryze,Daniel,Francis
107700204561086446,Deep Cross Gaming,DCG,deep-cross-gaming,98767991808793901,Mission,Hsiao Hsien,Chen
109676337359108345,Eclipse Gaming,ECG,eclipse-gaming,99591817398894020,Woohee,Paolo,Vicencio
107582181197106556,Skull Cracker Clan,SKC,skull-cracker-clan,109698314427620916,StarDragon,Andres Enrique,Escate Cordova
98767991877340524,Cloud9,C9,cloud9,99101098218071815,Blaber,Robert,Huang
98767991926151025,G2 Esports,G2,g2-esports,99322214629661297,Mikyx,Mihael,Mehle
109696073114910519,Anubis Gaming,ANB,anubis-gaming,109696509178731479,Mishal,Mishal,Albarrak
107599174108436104,Rebirth Esports,RBT,rebirth-esports,99566408324263362, lukasnegro,Lukas Matias,Vegas
109674814051390025,Primate,PMT,primate,99566408311664521,Kz,Nicolás,Gutiérrez
103461966965149786,MAD Lions,MAD,mad-lions,98926509846377469,Nisqy,Yasin,Dincer
110534724851488577,Froggy Five,FROG,froggy-five,110536055449776091,Nemesis9,Ryan,Saenz
106827839261303409,CGA  Academy,CGA,cga-academy,110536821680082132,Tima,MANATO,IWAMI
109698026697016325,Barcelona BG,BBG,barcelona-bg,109698059165293941,H0NE,Kevin Layo,Quispe Arenas
109696047948627764,GNG Esports,GNG,gng-esports,109696518508239835,9eetoo,Abdulrahman,Lubbad
