player_id,handle,first_name,last_name,home_team_id,team_id,name,acronym,slug
99921042949122304,Skanito,Harold,Quispe,1.0758259862102293e+17,1.0758259862102293e+17,Club Deportivo Municipal,CDM,club-deportivo-municipal
99566406307797296,Praedyth,Mark,Lewis,9.876799192146277e+16,9.876799192146277e+16,Dire Wolves,DW,dire-wolves
99566405664329440,Luger,Fatih,Güven,,,,,
98926509835349328,Deftly,Matthew,Chen,,,,,
98767975916458256,Peanut,Wangho ,Han,1.0020557349511645e+17,1.0020557349511645e+17,Gen.G,GEN,geng
110462561913944320,Ssaiko,Marcel,Lin,1.0967141372853152e+17,1.0967141372853152e+17,Pentagon Rejects,PTR,pentagon-rejects
109676537101291984,ianshaka,Ian,Pohl,1.0967480837197472e+17,1.0967480837197472e+17,Newell's Esports,NOB,newells-esports
109675752512061616,sHAKa,Chen-yu,Yang,9.876799192146277e+16,9.876799192146277e+16,Dire Wolves,DW,dire-wolves
109540117467901136,Only31,Mehmet,Emin,,,,,
110734375638473504,Kookykrook,Alexis,Rodriguez,1.1073388909016485e+17,1.1073388909016485e+17,Return of the Middlesticks,ROTM,return-of-the-middlesticks
110641779984816688,Paresz,Balint,Paksai,1.0756544872189083e+17,1.0756544872189083e+17,Domino Esports,DMN,domino-esports
99566407760687072,micaO,Micael,Rodrigues,,,,,
99322416267384656,V1per,Omran,Shoura,1.0591322113761867e+17,1.0591322113761867e+17,No Org,NOR,no-org
99322214626033936,HeaQ,Martin,Kordmaa,9.932221468152178e+16,9.932221468152178e+16,,,
99124844341128032,FoFo,Jun-Lan ,Chu,9.876799188227086e+16,9.876799188227086e+16,SHANGHAI EDWARD GAMING HYCAN,EDG,edward-gaming
98767991787052096,Hauntzer,Kevin,Yarnell,9.87679918603925e+16,9.87679918603925e+16,TSM,TSM,tsm
110535933483977184,Mixtsure,Eric,Yin,1.1053471493448853e+17,1.1053471493448853e+17,CB Gaming,CBG,cb-gaming
109676517921198528,WarangeluSS,Llanos Bernal,Fabián Esteban,1.0759904077384006e+17,1.0759904077384006e+17,Meta Gaming,MG,meta-gaming
99566408333803040,Nobody,Nicolás,Ale,1.0138379255956938e+17,1.0138379255956938e+17,All Knights,AK,all-knights
99566406483009312,Rest,Shih Chieh,Hsu,1.077001996339589e+17,1.077001996339589e+17,CTBC Flying Oyster,CFO,ctbc-flying-oyster
98926509801119536,Gate,Austin,Yu,9.929415383055709e+16,9.929415383055709e+16,OpTic Gaming,OPT,optic-gaming
98926509769517552,Armao,Jonathan,Armao,1.0346196695105952e+17,1.0346196695105952e+17,Evil Geniuses LG,EG,evil-geniuses
98767975900895696,Expect,Daehan,Ki,,,,,
110468634669232832,Becomin,Hyeonsoo,So,1.0969768368539805e+17,1.0969768368539805e+17,MAGAZA,MGZ,magaza
110461613173984544,Shieda,Sean,Hyde,1.1042500556204894e+17,1.1042500556204894e+17,Keypulse Esports,KYP,keypulse-esports
109698306469287664,Sherkaan,Ricardo Alejandro,Suárez Tapia,1.0758218119710656e+17,1.0758218119710656e+17,Skull Cracker Clan,SKC,skull-cracker-clan
109696740646737264,DaMa,Hussein,Hussein,1.0969613854357971e+17,1.0969613854357971e+17,3BL Esports,3BL,ebl-esports
99566408211536720,JoJo,Gabriel,de Oliveira,1.094800560922079e+17,1.094800560922079e+17,FLUXO,FX,fluxo
99566404564329216,ADD,Geunmo ,Kang,,,,,
99566404525897136,UmTi,Sunghyeon,Um,1.0550561954685989e+17,1.0550561954685989e+17,OKSavingsBank BRION,BRO,fredit-brion
98926509745704016,WildTurtle,Jason,Tran,9.87679918603925e+16,9.87679918603925e+16,TSM,TSM,tsm
110536783764146528,kentakki,Kenta,Saito,1.0682782355034397e+17,1.0682782355034397e+17,AXZ Academy,AXZ,axz-academy
110428238060630960,Clover7,Li,Zhigang,1.0756544872189083e+17,1.0756544872189083e+17,Domino Esports,DMN,domino-esports
109698190188893872,Eternal1,Vinicio Sebastian,Gaibor Yancha,1.0969803031283406e+17,1.0969803031283406e+17,Genbu Gaming,GNGG,genbu-gaming
99871352193690416,Luci,Changhun,Han,,,,,
99566408545249120,Acerola,Daniel ,Villalobos,1.0758215708647766e+17,1.0758215708647766e+17,Descuydado Aucas Esports,DSC,descuydado-esports
99566408532903760,Buggax,Mateo,Aroztegui,1.0967481405139003e+17,1.0967481405139003e+17,Primate,PMT,primate
99566404559755136,SeongHwan,Yun,Seong Hwan,9.87679919496089e+16,9.87679919496089e+16,Fenerbahçe Espor,FB,fenerbahce-espor
98926509788403328,Fenix,Jae Hoon,Kim,,,,,
98767991759219376,Xmithie,Jake,Puchero,,,,,
110535799102893888,Decoy1,Noah,D'Addario,1.1053469681129854e+17,1.1053469681129854e+17,Apex Mission Impossible,AMI,apex-mission-impossible
110428375437150768,Hid0,Gian Miguel,Caruana,1.0964268093200986e+17,1.0964268093200986e+17,Nord Esports,NORD,nord-esports
109828473190401600,Sora2,Hien,Vu Ngoc,1.072582544695047e+17,1.072582544695047e+17,Team Flash,TF,team-flash
109800032657915056,Zev,Mark,Villaneuva,1.1053471217489862e+17,1.1053471217489862e+17,Blue Otter,BOL,blue-otter
99566408332960784,Rod,Rodrigo,Altieri,,,,,
